text,label
"The final pairing of Nelson Eddy and Jeanette MacDonald is basically a complete misfire.The script is weak and has been presented badly.The film just has no life in it.Eddy and MacDonald would have been better off just making a filmed concert for their final pairing.There's nothing wrong with their singing,its just everything else in this turkey thats overcooked.",0
"I liked Batman: Dead End. A dark edgy film-noir setting for Batman was perfect. Batman: Dead End is good. This is not.<br /><br />First of all let me start off with the acting. None of it is really that good. The best would probably be Clark Bartram as Batman. But that isn't saying much. He is good at first glance, and then you realize he is what he is, a body-builder who happens to be a tolerable actor. But mainly the problem is that Batman doesn't belong in the daylight, he looks like a freak running around in a Bat suit. Instead of a horribly scarred man trying to make up for past mistakes. The daylight also reveals an irritating dorky scowl on Bartram's face which never leaves and unoticeable in Batman: Dead End, probably because of the darkness of short which is so desired in this trailer. Bartram seems to think that scowling and stubbornly shaking his head is acting, it's not, it's quite the opposite. It's called posing, something real actors avoid like the plague.<br /><br />Something I never understood why Collora casted body-builders as the leads. It makes much more sense to give the role to an actor who can manage it, instead of a bodybuilder who can kinda manage it but HEY HE LOOKS SO MUCH LIKE THE COMIC! Of course, they might have done better if Collora's dialouge didn't leave much to be desired.<br /><br />The entire trailer (yes, trailer. There will not be a full-length film) is more centered around Superman then Batman. But everything on the Superman side is corny, cloying and amateur. Michael O'Hearn (Superman) is one of the worst actors I've ever seen. He stands around, smiles, says his lines. That's about it. Although I'm not surprised since he is just a bodybuilder they hired and possibly received a few acting lessons. Once again I say to Collora, cast ACTORS. Not bodybuilders. Actors will be so much more compelling that we will forgive the fact they don't look exactly like the comic book.<br /><br />The costume is what you would expect Superman to wear. As for the Batman suit. Well, I guess it only looks good in the dark. I say this because in some shots the suit looks like something you would buy from a Halloween gift shop.<br /><br />Superman flies in this movie. But that isn't a good thing. These shots look especially amateur. This and a lot of the entire ""film"" looks like it was shot in their backyard with a VHS camera.<br /><br />The best shots are a shot of Superman catching a car in his hands. And the final shot of Two-Face and Batman at the very end. For those of you who have seen the trailer. You know what I'm talking about. Now if only he could have stretched that shot through the entire trailer.<br /><br />Finally I ask. Why if you're trying to show your ability as a director, would you make a trailer as a short film? This proves nothing when it comes to being an actual director handling story. My only piece of advice for Collora here is, there is a difference between the ability to tell a story and being able to work in marketing.<br /><br />Batman: Dead End didn't feel amateur. I can't figure out where this went wrong.",0
"OK, this has got 2 be one of the worst excuses 4 a movie that i have ever had the misfortune of watching. Like all other Olsen twins movies with the possible exception of new york minute , this film had no story, gaping plot holes,disgustingly putrid acting and bad filming even!!!!!!!!! in case you haven't guessed yet I HATE MARY KATE AND ASHLEY!!!!!! The only reason i watched this was because i was really bored and nothing else was on. I wonder if the twins will EVER stop making the same stereotypical movies where they have an unbelievably stupid adventure in an exotic location and save the day meanwhile getting the help of two cute guys who drool over them immediately. The least they could would be to have a guy 4 1 of them or have them both falling 4 the same guy. The plot in this story was so imbecilic and just plain dumb. even a toddler could see the flaws in it.Maybe they should split up and start making films individually or maybe films with a different kind of story. Anyone who liked this movie was no offense-either really stupid, really artificial or has not seen any really good movie. or maybe they are really smart and just have bad cinematic choices. either way i would not recommend this movie to my worst nemesis for a good movie experience.. the only thing it is good 4 is some rib splitting laughter at the pathetic attempts to be cool. if you watch for laughs it's hilarious. basically i give it 0 or less.",0
"This film is actually pertinent even today given the threat of bio-terrorism, and the threats of superbugs, West Nile Virus, and SARS. As a thriller, the tension is fairly intense. Richard Widmark and Paul Douglas are more than serviceable in their roles. The domestic scenes between Widmark and his wife provide a nice interlude to the main plot. The actor in this film who most left his mark is Jack Palance. His sharply defined features and seemingly easygoing exterior always wither way to reveal the avaricious and cruel man beneath the surface. The chase scene through the packing plant is impressive even today. Recommended, 7/10.",1
"I didn't really go into ""Reign Over Me"" knowing exactly what to expect either from the director or the story. The plot was easy enough to understand, I suppose. This guy's whole family died in 9/11, and he shuts the world out of his life. Alright. I didn't know if it was going to use the attachment of terrorism as a platform to speak on that or other issues relating to it, and it really doesn't on a very obvious level, so if you're scared to be surrounded by political opinions that may be different from yours, I wouldn't worry about it. I think the writing even made a point never to explicitly mention ""September the eleventh"".<br /><br />Overall, I was impressed. It was a very moving picture. The movie has a sense of humor, and it is very sharp, but it is definitely a drama where it counts. I typically don't like to think that comedic actors are incapable of actually acting, but sometimes, let's be honest, they are. Adam Sandler is definitely capable of it (and though I think so, you may disagree, Jim Carrey is also very well-rounded.. sometimes). Sandler's portrayal of Charlie Fineman took a character that on the surface seems completely unreal and makes it become absolutely believable. I read many reviews that criticized the writing of Alan Johnson's (Don Cheadle in another excellent role, if not one that seems similar to a few of his more recent pictures)wife, who is played well by Jada Pinkett Smith, calling her static and dull, but that is completely untrue.<br /><br />She has depth, but some of it gets hidden behind the main story, which does drift in and out of focus occasionally. (Which also brings to mind some very unusual transitions done early in the movie, with a weird ""Make everything out of focus"" fadeout. After about the first 40 minutes, they aren't used anymore. Maybe it's significant for the characters outlook, artistically, or maybe they just realized how irritating it was.) The film gradually begins to reveal to us the point (one of several, but definitely the most explicit) of the story, which is that sometimes people have to deal with grief in their own way. Maybe it seems unorthodox to us, maybe it seems downright unhealthy, but maybe what some people want more than anything is just to forget. To just exist. The films soundtrack was excellent, and it used music to pursue and amplify moods, rather than establish them, which gives credit to the actors and the writers.<br /><br />The movie takes it's name from the song ""Love, Reign O'er Me"", off of The Who's rock opera, Quadrophenia. The song itself is fairly insignificant to the actual story, but it is used powerfully in the movie over the course of the climax, and at the very end. The movie is paced well, and does not feel like it's dragging anywhere in it's length, which is a little over 2 hours. If you can accept Adam Sandler's portrayal of this deeply heartbroken and broken down man, you will enjoy the movie. You will become entangled in the story, and you will genuinely feel for the characters in every minute of it. It is not the best movie of the year, and there's nothing groundbreaking or positively amazing in it, but it's a very enjoyable, watchable movie, all in all.",1
"Even if you're a huge Sandler fan, please don't bother with this extremely disappointing comedy! I bought this movie for $7.99, assuming it has to be at least halfway decent since my man Sandler is in it and because I assumed some women would get naked (judging by the R-rating and scantily-clad women on the cover). Well, there are quite a few scantily-clad women, but none get naked. I'm not sure what point this was in Sandler's career, but I'm guessing it was even before his SNL days. I can be wrong. This is like watching one of his home movies. He might look back at a cheesy movie like this and reminisce about the good ol' times...but we (the audience) are left to dry. This is hardly a ""movie""! Sandler does a lot of talking to the camera, and even admits at one point that this is ""no-budget"" movie (that's right, not a low-budget movie, a NO-budget movie). So our job is pretty much to laugh AT the quirky characters. There is no steady plot, it's like an extended sketch comedy show--but a crude and badly written one. That guy who played the nasty comedian was completely annoying and it was implausible in the first place that he would receive such a mass audience. And Sandler finds his comic inspiration by saying the one classic Henny Youngman line ""Take my wife, please"" and the audience is on the floor? I'm not even going to TRY to make any logic here. Sure, Sandler's current and recent movies are not known for making a lot of sense (the penguin in ""Billy Madison,"" the midget in ""Happy Gilmore's"" Happy Place) but the comedy works. This is a strictly amateurish work, and even if you're curious about Adam's early days in film--you still won't be interested. You're better off checking out his start on SNL or maybe his underrated role in ""Mixed Nuts."" Of course, the Sandman is not the only actor wasted in this thankless vehicle. Billy Bob Thornton also makes a short appearance, Billy Zane (""Titanic"") has a supporting role and the great Burt Young (from the ""Rocky"" movies) has a significant role. <br /><br />This awful comedy will most probably be collecting dust on the 99-cent rental section of your local video store--and rightfully so. <br /><br />My score: 3 (out of 10)",0
"My God. This movie was awful. I can't complain about it too much. I went to see it just to be grossed out. It did suffice, sort of. It's funny that the most disgusting part of the movie was in the very, very beginning where the woman is extremely vividly forced to give birth to a horribly mutated baby.<br /><br />I also think that it's funny that the most notable actor in the movie was the Hispanic soldier, who was a supporting actor in Next Friday. Everyone in the movie did a horrible acting job. It was some of the worst acting I've ever paid to see. <br /><br />I also expected that it would be much more gruesome than the first one. It wasn't. I expected it to be more gruesome because it's a sequel and horror movie sequels are usually much less successful than their predecessors. I expected it to be more gruesome since gore and violence usually sell a horror movie these days (Grudge 2, Saw 3, Jeepers Creepers 1 & 2, Dead Silence), but It actually wasn't nearly as gruesome as the first one, which was yet another disappointment. <br /><br />The mutants in the first one were kind of disturbing but the filmmakers were trying so hard in this one to make them creepy that they were absolutely hilarious.<br /><br />I also hated the entire concept of showing the clip of the female soldier's son on her camera-phone saying ""I love you, mommy"" FOUR TIMES. It was stupid to show it in the first place because they were just trying to make us feel worse for the vulnerable mother than the rest of the soldiers, and it was even more stupid to keep trying to make us feel even WORSE for her by showing it three more times for no reason. This movie was a joke.",0
"I first saw this in the movie theater when it came out, and the crowd was really into the movie which made the experience all the more fun. This is a great cast of characters, many big names in it, a few of which were not as recognized then as they are now. I think it's a great idea if you follow any of these actors, or have loved them in other movies, to add it to your watched list. Some of the scenes actually remind me of the type of well-done comedy as in The Birdcage or even The Clue, kind of odd spontaneous-appearing comedy, with some really professional delivery from these beloved actors. The movie did a great job at giving you some insight, perhaps even very realistic, into the culture of a daytime soap.",1
I love this film. It's one of those I can watch again and again. It is acted well by a good cast that doesn't try too hard to be star studded.<br /><br />The premise of a newly widowed housewife who turns to selling pot to make ends meet could have been made into an Americanised turd of a movie or an action thriller. Either would have killed the film completely.<br /><br />The film plays out like an Ealing Comedy with a terrific feel-good factor throughout.<br /><br />It is worth watching just for the scene with the two old ladies and a box of cornflakes... (no that's not a spoiler!),1
"Firstly, this is a very dated film, non-focused in its exposition of the left wing political revolution. Honestly, when someone says that the only way to be truly revolutionary is to cease to be intellectual ( which in itself is quite nonsensical, since the answer was arrived at by precisely being intellectual) it reduces me to despair; as if we all should return to being apes in the name of equality - it is simply ridiculous. Our intellectuality is only one of many human qualities, but this does not mean we should not educate ourselves to the highest possible degree. But no doubt this non-educational message ties in with Godard's use of rock music; hence The Rolling Stones.<br /><br />The song 'Sympathy for the Devil', whose creation we witness, and from which the film takes its name, is in fact nothing special. The chord sequence, which is not especially original, was used to much better effect in Led Zeppelin's 'Thankyou'(Led Zeppelin II). Apart form that, 'Sir' Mick Jagger declaims in his usually nebulous manner (rather like Bob Dylan)- notice how the first melodic phrase is unimaginatively repeated over again to form the verse.<br /><br />Besides the fact that the Black Panthers depicted in this film, don't seem to know what they are fighting for, the most interesting scenes involve the equation of fascism with pornography; a message that in fact undermines the sexual 'liberation' of the 1960s and today ( indeed, a message that would belie the behaviour of The Rolling Stones around the time the film was made).<br /><br />No wonder, the DVD came free with The Sunday Times! For a truly profound historical exposition of left-wing sympathy, listen to Luigi Nono's masterpiece, 'Al Gran Sole carico'd'amore'.",0
